Ё,2
А,1301
Б,1779
В,553
Г,1061
Д,811
Е,107
Ж,423
З,675
И,369
Й,4
К,2448
Л,743
М,1208
Н,501
О,845
П,1886
Р,612
С,1918
Т,1064
У,288
Ф,204
Х,299
Ц,245
Ч,735
Ш,292
Щ,162
Э,238
Ю,148
Я,229
